Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	23.0	11.594514	63.0	9.0	23.0	-0.028774966	0.0477199	0.076165855	-0.43465677	4000	4.656613e-09	284.23376	-0.016577192	-19.339924	0.6804476	0.009206336	0.11925	79.0	4.285340070724487
1	29.849625	19.243393	117.0	9.0	29.849625	0.7167249	0.27980706	2.1760757	0.22260502	8000	-9.685755e-08	513.4538	-0.013186339	-39.023224	0.6765624	0.0049150726	0.0545	79.0	6.931994438171387
2	38.848484	24.134874	116.0	10.0	38.848484	1.7944199	0.5753838	6.04893	0.8853655	12000	-5.2154064e-08	688.28015	-0.011917787	-65.68531	0.665107	0.0042264066	0.032250002	79.0	9.568683624267578
3	44.666668	24.773766	106.0	12.0	44.666668	3.4493716	0.7667299	8.995605	1.5035343	16000	-6.891787e-08	689.056	-0.009327457	-84.46991	0.650192	0.0027614343	0.0155	79.0	12.20629334449768
4	65.67242	40.023434	199.0	13.0	65.67242	5.668127	1.3413218	16.248957	3.6483047	20000	-6.7055225e-08	1170.042	-0.011507029	-171.86517	0.63772625	0.0032655138	0.025750002	79.0	14.945152282714844
5	74.82692	40.256256	161.0	13.0	74.82692	9.407607	2.942854	30.066696	2.6504774	24000	4.4237822e-08	1112.443	-0.011474231	-172.59863	0.6411097	0.00511894	0.029000001	79.0	17.567325592041016
6	102.297295	52.3186	200.0	25.0	102.297295	13.728682	4.205391	38.04834	6.491214	28000	1.8626451e-08	1441.4318	-0.0082426295	-237.65044	0.6279454	0.0039716717	0.01225	79.0	20.16725778579712
7	120.90625	53.935356	200.0	19.0	120.90625	19.071194	5.6980214	54.31719	9.388401	32000	3.4458935e-08	1419.4456	-0.004099313	-232.77411	0.6165098	0.0018592338	0.00625	79.0	22.80055069923401
8	156.58333	47.215744	200.0	61.0	156.58333	23.089087	5.3224263	51.049667	12.599964	36000	2.4214387e-08	1506.4119	-0.0040670666	-293.57312	0.60621107	0.005287997	0.018	79.0	25.40360975265503
9	140.81482	63.22508	200.0	17.0	140.81482	27.839033	4.147153	61.728535	20.771704	40000	2.9802322e-08	1254.407	-0.007861542	-230.1695	0.60246193	0.0052858833	0.039499998	79.0	28.65592098236084
