Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.085562	10.079532	61.0	8.0	21.085562	0.13259244	0.11682827	0.75700027	-0.04518991	4000	6.239861e-08	235.1835	-0.019801637	-104.24434	0.6930226	0.009016779	0.097500004	79.0	6.76611065864563
1	27.475178	15.900213	97.0	10.0	27.475178	7.5366483	2.8994582	22.762577	5.043568	8000	5.401671e-08	277.72485	-0.023456376	-131.25528	0.6885822	0.015164353	0.15375	79.0	11.20922565460205
2	44.717648	32.132668	191.0	9.0	44.717648	17.221975	1.7079291	28.075771	12.7583475	12000	-4.8428774e-08	501.7279	-0.022440815	-165.77132	0.66047776	0.010635068	0.141	79.0	15.389150142669678
3	81.22222	41.311222	177.0	11.0	81.22222	28.773308	4.727826	57.14221	12.253497	16000	-2.6077032e-08	528.36597	-0.015274074	-139.63214	0.6408341	0.0071748495	0.077999994	79.0	19.554577112197876
4	107.76471	59.281513	200.0	22.0	107.76471	38.134995	4.061044	49.95573	19.795874	20000	-2.2351742e-08	592.5846	-0.014062446	-108.45766	0.61885434	0.005511922	0.050499998	79.0	23.71387553215027
5	160.91304	43.554974	200.0	52.0	160.91304	45.234985	8.497932	58.599407	12.826826	24000	-2.6077032e-08	457.19	-0.0105233975	-105.09627	0.5917069	0.0055601746	0.052	79.0	27.994600772857666
6	181.38095	47.025295	200.0	26.0	181.38095	58.52249	7.9136095	72.55152	5.397132	28000	0.0	511.04565	-0.007219612	-162.65324	0.58208966	0.005396557	0.03825	79.0	32.312336444854736
7	189.7	21.963833	200.0	111.0	189.7	58.580147	12.06856	79.37008	4.634934	32000	-7.450581e-09	428.7471	-0.006192788	-72.39441	0.57686484	0.007900214	0.032250002	79.0	36.50963854789734
8	198.1	5.7000003	200.0	181.0	198.1	53.528084	17.69066	71.611984	-19.823393	36000	-3.7252903e-09	283.05185	-0.0052606254	-54.807533	0.56701916	0.0026468853	0.064500004	79.0	40.67350506782532
9	198.8	5.2306786	200.0	176.0	198.8	63.209072	11.392485	75.73407	22.354637	40000	-1.3969839e-09	391.3936	-0.0059392224	-61.870785	0.5546847	0.0043546627	0.02725	79.0	46.00007772445679
